,Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaires
223,CDI - DATA SCIENTIST SENIOR / LEAD (MEDTECH) (H/F),"
Publié le 25 janvier 2023
",94 - LE KREMLIN BICETRE,"big data, intelligence artificielle, sécurité",,"CDI
 - Temps plein",
224,CDI - DATA SCIENTIST SENIOR / LEAD (MEDTECH) (H/F),"
Publié le 25 janvier 2023
",93 - BAGNOLET,"big data, intelligence artificielle, sécurité",,"CDI
 - Temps plein",
225,CDI - DATA SCIENTIST SENIOR / LEAD (MEDTECH) (H/F),"
Publié le 25 janvier 2023
",92 - VILLE D AVRAY,"big data, intelligence artificielle, sécurité",,"CDI
 - Temps plein",
226,CDI - PRODUCT OWNER DATA (MÉDIA) (H/F),"
Publié le 25 janvier 2023
",93 - LE BLANC MESNIL,"support, web, crm",,"CDI
 - Temps plein",
227,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",92 - ANTONY,"outils, excel",,"CDI
 - Temps plein",
228,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",95 - GARGES LES GONESSE,"outils, excel",,"CDI
 - Temps plein",
229,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",94 - CHAMPIGNY SUR MARNE,"outils, excel",,"CDI
 - Temps plein",
230,CDI - PRODUCT OWNER DATA (MÉDIA) (H/F),"
Publié le 25 janvier 2023
",94 - CRETEIL,"support, web, crm",,"CDI
 - Temps plein",
231,CDI - DATA SCIENTIST SENIOR / LEAD (MEDTECH) (H/F),"
Publié le 25 janvier 2023
",95 - BEZONS,"big data, intelligence artificielle, sécurité",,"CDI
 - Temps plein",
232,CDI - DATA SCIENTIST SENIOR / LEAD (MEDTECH) (H/F),"
Publié le 25 janvier 2023
",92 - COURBEVOIE,"big data, intelligence artificielle, sécurité",,"CDI
 - Temps plein",
233,CDI - DATA SCIENTIST SENIOR / LEAD (MEDTECH) (H/F),"
Publié le 25 janvier 2023
",92 - COURBEVOIE,"big data, intelligence artificielle, sécurité",,"CDI
 - Temps plein",
234,CHEF DE PRODUIT DATA ACQUISITION / ACTIVATION (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,"communication, marketing, git, acquisition",,"CDI
 - Temps plein",
235,MANAGER - DATA MANAGEMENT (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,data management,,"CDI
 - Temps plein",
236,RESPONSABLE PROJETS DATA MARKETING (H/F),"
Publié le 25 janvier 2023
",92 - BOULOGNE BILLANCOURT,marketing,,"Profession libérale
 - Non renseigné",
237,DATA ANALYST MANAGER SÉNIOR - EDITEUR DE LOGICIELS BIG DATA - MANAGEMENT (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,"big data, saas, machine learning",,"CDI
 - Temps plein",
238,CONSULTANT EXPÉRIMENTÉ DATA ANALYST / CDI / (H/F),"
Publié le 25 janvier 2023
",92 - NEUILLY SUR SEINE,cloud,,"CDI
 - Temps plein",
239,DATA ANALYST MANAGER SÉNIOR - EDITEUR DE LOGICIELS BIG DATA - MANAGEMENT (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,"big data, saas, machine learning",,"CDI
 - Temps plein",
240,TECH LEAD SOLUTIONS BIG DATA (H/F),"
Publié le 25 janvier 2023
",94 - FONTENAY SOUS BOIS,"agile, big data, validation, web, cloud",,"CDI
 - Temps plein",
241,HEAD OF DATA MANAGEMENT (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,data management,,"CDI
 - Temps plein",
242,CHEF DE PROJET E-COMMERCE CRM /DATA (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,"git, crm",,"CDI
 - Temps plein",
243,INGÉNIEUR DATA (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,"outils, etl",,"CDI
 - Temps plein",
244,INGÉNIEUR BIG DATA (H/F),"
Publié le 25 janvier 2023
",92 - SURESNES,"big data, outils",,"CDI
 - Temps plein",
245,INGÉNIEUR BIG DATA (H/F),"
Publié le 25 janvier 2023
",92 - NANTERRE,"big data, outils",,"CDI
 - Temps plein",
246,INGÉNIEUR BIG DATA (H/F),"
Publié le 25 janvier 2023
",92 - CLICHY,"big data, outils",,"CDI
 - Temps plein",
247,INGÉNIEUR BIG DATA (H/F),"
Publié le 25 janvier 2023
",78 - HOUILLES,"big data, outils",,"CDI
 - Temps plein",
248,INGÉNIEUR BIG DATA (H/F),"
Publié le 25 janvier 2023
",93 - ST OUEN SUR SEINE,"big data, outils",,"CDI
 - Temps plein",
249,INGÉNIEUR BIG DATA (H/F),"
Publié le 25 janvier 2023
",92 - COLOMBES,"big data, outils",,"CDI
 - Temps plein",
250,DATA ENGINEER (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,"python, sql, agile, paas, power bi, scala, spark",,"Intérim
 - Temps plein",
251,RESP MOA TRAVAUX FONCIERE - DATA CENTER (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,"moa, excel",,"CDI
 - Temps plein",
252,KAM - DATA MARKETING (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,"marketing, ios",,"CDI
 - Temps plein",
253,KAM - DATA MARKETING (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,"marketing, ios",,"CDI
 - Temps plein",
254,CDI - PRODUCT OWNER DATA (MÉDIA) (H/F),"
Publié le 25 janvier 2023
",94 - ST MAUR DES FOSSES,"support, web, crm",,"CDI
 - Temps plein",
255,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",94 - ST MANDE,saas,,"CDI
 - Temps plein",
256,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",92 - VILLENEUVE LA GARENNE,saas,,"CDI
 - Temps plein",
257,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",93 - LA COURNEUVE,"outils, excel",,"CDI
 - Temps plein",
258,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",94 - CRETEIL,saas,,"CDD
 - Temps plein",
259,CDI - PRODUCT OWNER DATA (MÉDIA) (H/F),"
Publié le 25 janvier 2023
",95 - ARGENTEUIL,"support, web, crm",,"CDI
 - Temps plein",
260,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",93 - ST DENIS,saas,,"CDI
 - Temps plein",
261,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",93 - BAGNOLET,saas,,"CDI
 - Temps plein",
262,INGÉNIEUR BIG DATA (H/F),"
Publié le 25 janvier 2023
",92 - VILLENEUVE LA GARENNE,"big data, outils",,"CDI
 - Temps plein",
263,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",95 - ENGHIEN LES BAINS,"outils, excel",,"CDI
 - Temps plein",
264,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",93 - DRANCY,saas,,"CDI
 - Temps plein",
265,MARKETING DATA ANALYSTE (H/F),"
Publié le 25 janvier 2023
",92 - ANTONY,"marketing, git",,"CDI
 - Temps plein",
266,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",93 - NOISY LE SEC,"outils, excel",,"CDI
 - Temps plein",
267,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",91 - WISSOUS,saas,,"Intérim
 - Temps plein",
268,CDI - DATA SCIENTIST SENIOR / LEAD (MEDTECH) (H/F),"
Publié le 25 janvier 2023
",93 - DRANCY,"big data, intelligence artificielle, sécurité",,"CDI
 - Temps plein",
269,INGÉNIEUR BIG DATA (H/F),"
Publié le 25 janvier 2023
",92 - BOIS COLOMBES,"big data, outils",,"CDI
 - Temps plein",
270,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",92 - PUTEAUX,"outils, excel",,"CDI
 - Temps plein",
271,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",93 - MONTREUIL,"outils, excel",,"CDI
 - Temps plein",
272,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",92 - GENNEVILLIERS,saas,,"CDI
 - Temps plein",
273,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",92 - GENNEVILLIERS,saas,,"CDI
 - Temps plein",
274,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",95 - GARGES LES GONESSE,saas,,"CDD
 - Temps plein",
275,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",92 - CHAVILLE,saas,,"CDI
 - Temps plein",
276,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",78 - VELIZY VILLACOUBLAY,saas,,"CDI
 - Temps plein",
277,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",93 - LE BLANC MESNIL,"outils, excel",,"CDD
 - Temps plein",
278,CDI - DATA SCIENTIST SENIOR / LEAD (MEDTECH) (H/F),"
Publié le 25 janvier 2023
",92 - CLICHY,"big data, intelligence artificielle, sécurité",,"CDI
 - Temps plein",
279,MANAGER EXPÉRIMENTÉ DATA ANALYTICS/ CDI / (H/F),"
Publié le 25 janvier 2023
",92 - NEUILLY SUR SEINE,cloud,,"Intérim
 - Temps plein",
280,CDI - DATA ANALYST (AGENCY) (H/F),"
Publié le 25 janvier 2023
",94 - BRY SUR MARNE,"outils, excel",,"CDI
 - Temps plein",
281,CDI - LEAD DATA SCIENTIST (SAAS) (H/F),"
Publié le 25 janvier 2023
",94 - ALFORTVILLE,saas,,"CDI
 - Temps plein",
282,DATA ENGINEER (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,cloud,,"CDI
 - Temps plein",
283,SOFTWARE ENGINEER BIG DATA (H/F),"
Publié le 25 janvier 2023
",94 - FONTENAY SOUS BOIS,"agile, big data",,"CDI
 - Temps plein",
284,ACHETEUR / GROUP LEAD BUYER MARKET DATA GSS (H/F),"
Publié le 25 janvier 2023
",93 - PANTIN,,,"CDI
 - Temps plein",
285,CPL SF- ANALYSTE SÉCURITÉ DATA LOSS PREVENTION AU SEIN DE LA FONCTION CONFORMITÉ (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,sécurité,,"CDD
 - Temps plein",
286,DÉVELOPPEUR DATA HUB FLUX (H/F),"
Publié le 25 janvier 2023
",93 - MONTREUIL,"validation, ios",,"CDI
 - Temps plein",
287,Data Analyst F/H (H/F),"
Publié le 25 janvier 2023
",92 - COURBEVOIE,"python, sql, recette, communication, git, support",,"CDI
 - Temps plein",
288,Data Architect F/H (H/F),"
Publié le 25 janvier 2023
",78 - PLAISIR,"big data, outils, support, sécurité, etl",,"CDI
 - Temps plein",
289,ALM TREASURY ANALYSTE QUANTITATIF / DATA SCIENTIST (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 01,,,"CDI
 - Temps plein",
290,DATA ANALYST - ARVAL CONNECT (H/F),"
Actualisé le 25 janvier 2023
",92 - RUEIL MALMAISON,,,"CDI
 - Temps plein",
291,Data Engineer () H/F,"
Publié le 25 janvier 2023
",75 - PARIS 08,"python, agile, test, machine learning, git, support, scala, web, spring, cloud, tableau, spark",,"CDI
 - Temps plein",
292,Data Analyst  H/F,"
Publié le 25 janvier 2023
",91 - LISSES,"communication, business intelligence, support, oracle, sécurité, ios, talend",,"CDI
 - Temps plein",
293,Data Analyst  H/F,"
Publié le 25 janvier 2023
",91 - LISSES,"communication, business intelligence, support, oracle, sécurité, ios, talend",,"CDI
 - Temps plein",
294,Data Scientist F/H (H/F),"
Publié le 25 janvier 2023
",94 - IVRY SUR SEINE,"python, sql, agile, machine learning, git, web, cloud, nlp",,"CDI
 - Temps plein",
295,Product Owner Data & Analytics H/F,"
Publié le 25 janvier 2023
",92 - CHATILLON,"agile, support",,"CDI
 - Temps plein",
296,Data Analyst H/F,"
Publié le 25 janvier 2023
",91 - BONDOUFLE,agile,,"CDD
 - Temps plein",
297,Data analyst/Data scientist F/H (H/F),"
Publié le 25 janvier 2023
",92 - MEUDON,,,"CDI
 - Temps plein",
298,Data Ingénieur F/H (H/F),"
Publié le 24 janvier 2023
",92 - NANTERRE,"python, sql, agile, outils, hadoop, bases de données, scrum, unix, cloud, linux, unix, sécurité, etl",,"CDI
 - Temps plein",
299,Data project manager product owner (H/F),"
Publié le 24 janvier 2023
",93 - Seine Saint Denis,"agile, big data, outils, communication, validation, git, support, sap","
AIR FRANCE
","CDI
 - Temps plein",
300,Analyst data hospitality manager (H/F),"
Publié le 24 janvier 2023
",92 - NANTERRE,"sql, recette, outils, communication, support, sap, power bi, tableau, ios","
Louvre Hotels
","CDI
 - Temps plein",
301,Master data supply chain manager (H/F),"
Publié le 24 janvier 2023
",75,"outils, communication, sap, power bi, excel","
FED SUPPLY
",,
302,DATAJT-46062 - Data analyst H/F,"
Publié le 24 janvier 2023
",75,"python, sql, outils, support, mysql, postgresql, cloud","
Groupama
",,Salaire brut : De
303,Data analyst f/h (H/F),"
Publié le 24 janvier 2023
",92 - COURBEVOIE,"recette, communication, git, support",,"CDI
 - Temps plein",
304,Master Data Supply Chain Manager H/F,"
Publié le 24 janvier 2023
",92 - RUEIL MALMAISON,"outils, communication, sap, power bi, excel",,"CDI
 - Temps plein",
305,Data analyst (H/F),"
Publié le 24 janvier 2023
",92 - BOULOGNE BILLANCOURT,"outils, machine learning, ios","
Reezocar
","CDI
 - Temps plein",
306,DATA SCIENTIST - DÉTECTION ABUS DE MARCHÉ H/F,"
Publié le 24 janvier 2023
",75 - Paris (Dept.),,,"CDI
 - Temps plein",
307,"Consultant Data Management F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",75 - PARIS 09,"outils, data management, sécurité, excel, ios","
NOVAMINDS
","CDI
 - Temps plein",Salaire brut : A négocier
308,"Lead Data F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",75 - PARIS 04,"python, sql, outils, machine learning, git, postgresql, cloud","
jobs_that_makesense
","CDI
 - Temps plein",Salaire brut : A négocier
309,Master Data Supply Chain SAP F/H - Création (H/F),"
Publié le 24 janvier 2023
",94 - RUNGIS,"test, sap, excel","
PAGE PERSONNEL
","CDI
 - Temps plein",Salaire brut : 41 - 47 k€ brut annuel
310,"Data engineer F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",92 - NANTERRE,"python, sql, support, power bi, devops, excel","
INFOGENE
","CDI
 - Temps plein",Salaire brut : A partir de 40 k€ brut annuel
311,"Data Analyst F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",75 - PARIS 01,"outils, excel","
MICHAEL PAGE INTERNATIONAL FRANCE
","CDI
 - Temps plein",Salaire brut : 40 - 46 k€ brut annuel
312,Chef de projet Data Centric F/H - Informatique de gestion (H/F),"
Publié le 24 janvier 2023
",75 - PARIS 01,,"
SAS PROXIEL
","CDI
 - Temps plein",Salaire brut : A partir de 45 k€ brut annuel
313,Chef de projet Data Centric F/H - Informatique de gestion (H/F),"
Publié le 24 janvier 2023
",75 - PARIS 01,,"
SAS PROXIEL
","CDI
 - Temps plein",Salaire brut : A partir de 45 k€ brut annuel
314,"Consultant.e Data Management F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",75 - PARIS 08,"python, sql, agile, outils, validation, data management, scrum, acquisition, windows, power bi, cloud, tableau, sécurité, excel","
SAEGUS
","CDI
 - Temps plein",Salaire brut : A négocier
315,"CONSULTANT DATA ANALYST QLIK - POWER BI - PARIS F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",75 - PARIS 09,"sql, bases de données, power bi, qlik, tableau","
ACSSI
","CDI
 - Temps plein",Salaire brut : A négocier
316,Business Analyst Data/Digital F/H - Marketing (H/F),"
Publié le 24 janvier 2023
",75 - PARIS 12,"test, recette, outils, git, ios","
KODERS
","CDI
 - Temps plein",Salaire brut : A négocier
317,"Data Manager F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",75 - PARIS 11,"sql, git, bases de données, qlik, sécurité, talend, etl","
MICHAEL PAGE INTERNATIONAL FRANCE
","CDI
 - Temps plein",Salaire brut : 48 - 50 k€ brut annuel
318,"Ingénieur DATA / BI F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",92 - BOULOGNE BILLANCOURT,"communication, bases de données","
Alten
","CDI
 - Temps plein",Salaire brut : 33 - 42 k€ brut annuel
319,"Data Scientist F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",92 - BOULOGNE BILLANCOURT,"python, sql, machine learning, sécurité, spark","
AGAP2IT
","CDI
 - Temps plein",Salaire brut : 35 - 60 k€ brut annuel
320,Consultant Data et Business Intelligence F/H - Maîtrise d'ouvrage et fonctionnel (H/F),"
Publié le 24 janvier 2023
",75 - PARIS 08,business intelligence,"
irex Consulting
","CDI
 - Temps plein",Salaire brut : A partir de 42 k€ brut annuel
321,Chef de Projet IT Data (h/f) F/H - Informatique de gestion,"
Publié le 24 janvier 2023
",92 - BOULOGNE BILLANCOURT,"sql, test, recette, communication, bases de données, support, talend, etl","
LHHLEADERS.FR
","CDI
 - Temps plein",Salaire brut : 45 - 53 k€ brut annuel
322,"Data Analyst Finance F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",75 - PARIS 04,"test, outils, bases de données, support, sap, tableau","
MICHAEL PAGE INTERNATIONAL FRANCE
","Intérim
 - Temps plein",Salaire brut : 40 - 45 k€ brut annuel
323,"Data Scientist F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",94 - CHARENTON LE PONT,"python, sql, test, outils, machine learning, git, cloud","
BNP Paribas
","CDI
 - Temps plein",Salaire brut : A négocier
324,"Data Analyst F/H - Système, réseaux, données (H/F)","
Publié le 24 janvier 2023
",92 - COURBEVOIE,"python, sql, recette, communication, git, support, réseaux","
ENEDIS
","CDI
 - Temps plein",Salaire brut : A négocier
325,CHARGE D'ETUDES ACTUARIELLES DATA et pilotage  H/F,"
Publié le 24 janvier 2023
",75 - PARIS 08,"agile, recette, communication, tableau",,"CDI
 - Temps plein",
326,Assistant commercial et de gestion F/H - NM DATA (H/F),"
Publié le 24 janvier 2023
",75 - PARIS 10,"outils, marketing, git, bases de données","
NM DATA
","Intérim
 - Temps plein",
327,Data manager (H/F),"
Publié le 24 janvier 2023
",91 - GIF SUR YVETTE,"outils, communication, git, excel","
orano - CSP IDF
","CDI
 - Temps plein",
328,Data manager (H/F),"
Publié le 24 janvier 2023
",92 - CHATILLON,"test, git, support, sécurité, excel, ios, etl","
orano - CSP IDF
","CDI
 - Temps plein",
329,Data analyst (H/F),"
Publié le 24 janvier 2023
",92 - CHATILLON,"outils, data management, git, tableau, sécurité","
orano - CSP IDF
","CDI
 - Temps plein",
330,Data scientist (H/F),"
Publié le 23 janvier 2023
",75 - PARIS 01,"test, big data, outils, intelligence artificielle, validation, machine learning, support, ios",,"CDI
 - Temps plein",
331,Data manager (H/F),"
Publié le 23 janvier 2023
",92 - ISSY LES MOULINEAUX,"sql, outils, vba, excel",,"CDI
 - Temps plein",
332,Data manager (H/F),"
Publié le 23 janvier 2023
",Ile-de-France,"outils, communication, marketing, machine learning, excel",,"CDI
 - Temps plein",
333,Data manager (H/F),"
Publié le 23 janvier 2023
",Ile-de-France,"outils, communication, marketing, machine learning, excel",,"CDI
 - Temps plein",
334,Data manager (H/F),"
Publié le 23 janvier 2023
",Ile-de-France,"outils, communication, marketing, machine learning, excel",,"CDI
 - Temps plein",
335,Data scientist (H/F),"
Publié le 23 janvier 2023
",92 - COURBEVOIE,"python, sql, outils, intelligence artificielle, machine learning, git, bases de données, cloud, excel, nlp, tensorflow",,"CDI
 - Temps plein",
336,Data scientist (H/F),"
Publié le 23 janvier 2023
",75 - PARIS 01,"python, machine learning, cloud, spark",,"CDI
 - Temps plein",
337,Data scientist (H/F),"
Publié le 23 janvier 2023
",92 - GENNEVILLIERS,"python, sql, test, validation, postgresql, cloud, devops, sécurité",,"CDI
 - Temps plein",
338,Data manager (H/F),"
Publié le 23 janvier 2023
",78 - GUYANCOURT,"agile, test, outils, communication, validation, git, support",,"CDD
 - Temps partiel",
339,Data manager (H/F),"
Publié le 23 janvier 2023
",75 - PARIS 01,"outils, data management, vba, excel",,"CDD
 - Temps plein",
340,Data scientist (H/F),"
Actualisé le 25 janvier 2023
",92 - COURBEVOIE,"python, sql, test, outils, communication, git, power bi, vba, excel",,"CDI
 - Temps plein",
341,Data miner (H/F),"
Publié le 23 janvier 2023
",75 - PARIS 01,"python, sql, marketing, git, support, spark",,"CDI
 - Temps plein",
342,Data scientist (H/F),"
Publié le 23 janvier 2023
",91 - MASSY,"agile, test, outils, communication, machine learning, devops, excel",,"CDI
 - Temps plein",
343,Data manager (H/F),"
Publié le 23 janvier 2023
",95 - ROISSY EN FRANCE,"big data, sécurité",,"CDI
 - Temps plein",
344,Data scientist (H/F),"
Publié le 23 janvier 2023
",Ile-de-France,"python, hadoop, machine learning, sécurité, spark",,"CDI
 - Temps plein",
345,Data scientist (H/F),"
Publié le 23 janvier 2023
",75 - PARIS 01,"sql, outils, marketing, git, bases de données, excel",,"CDI
 - Temps plein",
346,Data scientist (H/F),"
Publié le 23 janvier 2023
",94 - CHARENTON LE PONT,"python, sql, agile, big data, outils, hadoop, machine learning, git, cloud, salesforce, spark",,"CDI
 - Temps plein",
347,"Chef de projet Data Center Connectivity F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",75 - PARIS 01,"test, communication, bases de données, support","
Isabelle SOURATI
","CDI
 - Temps plein",Salaire brut : 40 - 50 k€ brut annuel
348,"Data Analyst F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",75 - PARIS 01,"outils, réseaux","
CNSA
","CDI
 - Temps plein",Salaire brut : A négocier
349,"Data Analyst - Full remote possible F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",75 - PARIS 13,"python, sql, test, communication, marketing, machine learning, bases de données, windows, tableau, excel","
YASSIR
","CDI
 - Temps plein",Salaire brut : A négocier
350,"Data Analyst Senior  - CDI F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",75 - PARIS 01,"sql, outils, marketing, git, tableau","
NEXITY
","CDD
 - Temps plein",Salaire brut : A négocier
351,"Consultant(e) Data Analyst (Tableau / Dataiku) F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",75 - PARIS 08,"sql, agile, outils, support, tableau, sécurité, vba","
ACCELITE
","Intérim
 - Temps plein",Salaire brut : A négocier
352,"Ingénieur quantitatif data scientist F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",75 - PARIS 07,"python, test, outils, machine learning, bases de données, sas, excel","
CAISSE DES DEPOTS ET CONSIGNATIONS
","CDI
 - Temps plein",Salaire brut : A négocier
353,"Data Scientist F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",92 - BOULOGNE BILLANCOURT,"python, sql, outils, marketing, git, power bi, cloud","
Mherit
","CDI
 - Temps plein",Salaire brut : 40 - 42 k€ brut annuel
354,"Data Scientist F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",92 - BOULOGNE BILLANCOURT,"python, sql, outils, marketing, git, power bi, cloud","
Mherit
","CDI
 - Temps plein",Salaire brut : 40 - 42 k€ brut annuel
355,"Data Manager Programmes Après-Vente F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",78 - MAGNY LES HAMEAUX,"outils, plm, git, support","
Safran Nacelles
","CDI
 - Temps plein",Salaire brut : A négocier
356,2022-1860 - LEAD DATA ANALYST (H/F),"
Actualisé le 25 janvier 2023
",75 - PARIS 01,"outils, git, web",,"CDI
 - Temps plein",
357,"Data engineer Spark/Scala F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",92 - LEVALLOIS PERRET,"agile, test, big data, recette, communication, git, scrum, scala, devops, spark","
INVENTIV IT
","CDI
 - Temps plein",Salaire brut : A négocier
358,Contrôleur de gestion Sociale / Consultant AMOA Data RH F/H - Administration des RH (H/F),"
Actualisé le 24 janvier 2023
",92 - COURBEVOIE,"outils, sap, tableau, moa, excel","
ACT-ON GROUP
","CDI
 - Temps plein",Salaire brut : A négocier
359,"Chef de Projet Data F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",75 - PARIS 01,"agile, outils, support, cloud","
IBM Interactive
","CDI
 - Temps plein",Salaire brut : A négocier
360,"Data Analyst F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",75 - PARIS 01,"outils, réseaux, sas","
CNSA
","CDI
 - Temps plein",Salaire brut : A négocier
361,"DATA ANALYST F/H - Système, réseaux, données (H/F)","
Publié le 23 janvier 2023
",92 - SEVRES,"python, outils, communication, git, bases de données, power bi, tableau, excel, crm","
PRECIPHAR
","CDI
 - Temps plein",Salaire brut : 42 - 50 k€ brut annuel
362,DATA ANALYST - QLIKVIEW (H/F),"
Actualisé le 25 janvier 2023
",91 - WISSOUS,"qlik, qlikview",,"CDI
 - Temps plein",
363,DATA SCIENTIST ML ENGINEER (H/F),"
Actualisé le 25 janvier 2023
",92 - ISSY LES MOULINEAUX,cloud,,"CDI
 - Temps plein",
364,BUSINESS ANALYST IT DATA (H/F),"
Actualisé le 25 janvier 2023
",92 - MONTROUGE,,,"CDI
 - Temps plein",
365,DATA ANALYSTE RISQUES CRÉDITS (H/F),"
Actualisé le 25 janvier 2023
",75 - PARIS 01,,,"CDI
 - Temps plein",
366,RESPONSABLE D'APPLICATION MASTER DATA (H/F),"
Actualisé le 25 janvier 2023
",93 - AUBERVILLIERS,agile,,"CDI
 - Temps plein",
367,LEAD DATA SCIENTIST (H/F),"
Actualisé le 25 janvier 2023
",92 - RUEIL MALMAISON,,,"CDI
 - Temps plein",
368,Data Manager H/F,"
Publié le 22 janvier 2023
",94 - ORLY,"sql, git, support, power bi, tableau",,"CDI
 - Temps plein",
369,Data project manager (Data Office) (H/F),"
Publié le 22 janvier 2023
",94 - CHARENTON LE PONT,"data management, support, réseaux, excel",,"CDI
 - Temps plein",
370,Market Data Analyst IPV (H/F),"
Publié le 22 janvier 2023
",94 - CHARENTON LE PONT,"python, outils, réseaux, vba, excel, data quality",,"CDI
 - Temps plein",
371,Flight Data Acquisition Service Delivery Manager F/H (H/F),"
Publié le 22 janvier 2023
",91 - MASSY,"python, sql, outils, git, support, acquisition, web, cloud, tableau",,"CDI
 - Temps plein",
372,Lead Data Manager (H/F),"
Publié le 22 janvier 2023
",75 - Paris (Dept.),"communication, data management, git, support",,"CDI
 - Temps plein",
373,Manager de contrat Data Center H/F,"
Publié le 22 janvier 2023
",Ile-de-France,sécurité,,"CDD
 - Temps plein",
374,Manager de contrat Data Center H/F,"
Publié le 22 janvier 2023
",Ile-de-France,sécurité,,"Intérim
 - Temps plein",
375,Consultant en Data Management (F/H) (H/F),"
Publié le 21 janvier 2023
",95 - BEZONS,"data management, git, cloud, sécurité","
Atos
","CDI
 - Temps plein",
376,Data miner (H/F),"
Publié le 21 janvier 2023
",92 - Hauts de Seine,"outils, communication, marketing, web","
Openclassrooms
","CDI
 - Temps plein",
377,Data miner (H/F),"
Actualisé le 24 janvier 2023
",93 - Seine Saint Denis,"outils, communication, marketing, web","
Openclassrooms
","CDI
 - Temps plein",
378,Data miner (H/F),"
Actualisé le 24 janvier 2023
",77 - Seine et Marne,"outils, communication, marketing, web","
Openclassrooms
","CDI
 - Temps plein",
379,Data manager f/h (H/F),"
Publié le 21 janvier 2023
",91 - GIF SUR YVETTE,"outils, git, excel",,"CDI
 - Temps plein",
